iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi
0,1234,2278,Aleatorio,HilllClimbing,true,true,true,true,99,true,true,Basica,-60708.0,-93150.0,12692.0,5040.0,73400.0,98190.0,75,100,10,10,6346,2520
0,1234,2766,Aleatorio,HilllClimbing,true,true,true,true,95,true,true,Avanzada,-59488.0,-92212.0,12692.0,4968.0,73400.0,97860.0,75,100,10,10,6346,2484
0,1234,2249,Aleatorio,HilllClimbing,true,true,true,true,99,true,true,Basica,-60708.0,-93150.0,12692.0,5040.0,73400.0,98190.0,75,100,10,10,6346,2520
0,1234,2580,Aleatorio,HilllClimbing,true,true,true,true,95,true,true,Avanzada,-59488.0,-92212.0,12692.0,4968.0,73400.0,97860.0,75,100,10,10,6346,2484
0,1234,2346,Aleatorio,HilllClimbing,true,true,true,true,99,true,true,Basica,-60708.0,-93150.0,12692.0,5040.0,73400.0,98190.0,75,100,10,10,6346,2520
0,1234,2538,Aleatorio,HilllClimbing,true,true,true,true,95,true,true,Avanzada,-59488.0,-92212.0,12692.0,4968.0,73400.0,97860.0,75,100,10,10,6346,2484
0,1234,2442,Aleatorio,HilllClimbing,true,true,true,true,99,true,true,Basica,-60708.0,-93150.0,12692.0,5040.0,73400.0,98190.0,75,100,10,10,6346,2520
1,1,2008,Aleatorio,HilllClimbing,true,false,false,false,68,true,true,Avanzada,-56184.0,-65072.0,12476.0,3588.0,69630.0,69700.0,71,71,10,10,6238,1794
1,1,1621,Aleatorio,HilllClimbing,true,false,false,false,80,true,true,Basica,-57154.0,-66770.0,12476.0,3300.0,69630.0,70070.0,71,71,10,10,6238,1650
1,1,1954,Aleatorio,HilllClimbing,true,false,false,false,68,true,true,Avanzada,-56184.0,-65072.0,12476.0,3588.0,69630.0,69700.0,71,71,10,10,6238,1794
1,1,1726,Aleatorio,HilllClimbing,true,false,false,false,80,true,true,Basica,-57154.0,-66770.0,12476.0,3300.0,69630.0,70070.0,71,71,10,10,6238,1650
