iteration,seed,time_ms,algorithmEI,algorithmSearch,op1,op2,op3,op4,nodesExpanded,validInicial,validFinal,heurFunction,heurIni,heurFi,costIni,costFi,profitIni,profitFi,AssignedPetitionsIni,AssignedPetitionsFi,trucksUsedIni,trucksUsedFi,totalKmIni,totalKmFi,k,lambda
7,242526,174,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72508.0,-92010.0,10752.0,5500.0,83260.0,97510.0,85,99,10,10,5376,2750,25,0.01
7,242526,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-72508.0,-86256.0,10752.0,8804.0,83260.0,95060.0,85,97,10,10,5376,4402,25,1.0
7,242526,219,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72508.0,-91542.0,10752.0,6728.0,83260.0,98270.0,85,100,10,10,5376,3364,125,1.0E-4
7,242526,171,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-72508.0,-92034.0,10752.0,5376.0,83260.0,97410.0,85,99,10,10,5376,2688,125,0.01
7,242526,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-72508.0,-86220.0,10752.0,9000.0,83260.0,95220.0,85,97,10,10,5376,4500,125,1.0
8,669610,186,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69452.0,-93328.0,10628.0,4872.0,80080.0,98200.0,82,100,10,10,5314,2436,1,1.0E-4
8,669610,182,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69452.0,-92282.0,10628.0,4928.0,80080.0,97210.0,82,99,10,10,5314,2464,1,0.01
8,669610,9,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-69452.0,-88350.0,10628.0,8680.0,80080.0,97030.0,82,99,10,10,5314,4340,1,1.0
8,669610,177,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69452.0,-93496.0,10628.0,4664.0,80080.0,98160.0,82,100,10,10,5314,2332,5,1.0E-4
8,669610,177,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69452.0,-92536.0,10628.0,4644.0,80080.0,97180.0,82,99,10,10,5314,2322,5,0.01
8,669610,8,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-69452.0,-89364.0,10628.0,8576.0,80080.0,97940.0,82,100,10,10,5314,4288,5,1.0
8,669610,206,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69452.0,-92246.0,10628.0,4904.0,80080.0,97150.0,82,99,10,10,5314,2452,25,1.0E-4
8,669610,171,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69452.0,-92406.0,10628.0,4884.0,80080.0,97290.0,82,99,10,10,5314,2442,25,0.01
8,669610,10,GreedyCuadrantes,Simulated Annealing,true,true,true,false,801,true,true,Basica,-69452.0,-89300.0,10628.0,8560.0,80080.0,97860.0,82,100,10,10,5314,4280,25,1.0
8,669610,223,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69452.0,-91832.0,10628.0,6248.0,80080.0,98080.0,82,100,10,10,5314,3124,125,1.0E-4
8,669610,172,GreedyCuadrantes,Simulated Annealing,true,true,true,false,20001,true,true,Basica,-69452.0,-91294.0,10628.0,4916.0,80080.0,96210.0,82,98,10,10,5314,2458,125,0.01
